Gemeinde/Stadt,BdSt-Musterhaushalt Gesamtbelastung 2020 in Euro,Niederschlagswassergebührensatz in Euro,Schmutzwassergebührensatz in Euro,Sondergebühren NW in Euro,Grundgebühr jährlich in Euro,BdSt-Musterhaushalt Gesamtbelastung 2019 in Euro,Veränderung zum Vorjahr,Fernsehstudio,Hörfunk,Schmutzwassergebührensatz Durchschnitt in Euro,Niederschlagswassergebührensatz Durchschnitt in Euro,Sondergebühren NW Durchschnitt in Euro,Grundgebühr jährlich in Euro Durchschnitt,BdSt-Musterhaushalt Gesamtbelastung 2020 in Euro Durchschnitt,BdSt-Musterhaushalt Gesamtbelastung 2019 in Euro Durchschnitt,Veränderung zum Vorjahr Durchschnitt,Schmutzwassergebühr im Vergleich,Vergleich Schmutzwasser Text,Niederschlagsgebühren im Vergleich,Vergleich Schmutzwasser Text1,BdSt-Musterhaushalt Gesamtbelastung 2020 in Euro Vergleich zum Durchschnitt,X.1
Anröchte,950.1,0.77,4.25,null,null,954.2,-0.004296793,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,41.12497484,über dem Durchschnitt,-9.51495893,unter dem Durchschnitt,30.77875592,über dem Durchschnitt
Arnsberg,744.64,0.87,2.92,null,47.54,745.4,-0.001019587,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-3.038840813,unter dem Durchschnitt,2.236345105,über dem Durchschnitt,2.497729514,über dem Durchschnitt
Ascheberg,632.6,0.42,2.89,null,null,616.7,0.02578239,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-4.035017106,unter dem Durchschnitt,-50.64452305,unter dem Durchschnitt,-12.9242806,unter dem Durchschnitt
Attendorn,692.4,0.48,3.15,null,null,692.4,0,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,4.598510767,über dem Durchschnitt,-43.59374063,unter dem Durchschnitt,-4.692968528,unter dem Durchschnitt
Augustdorf,685.5,0.35,3.2,null,null,699.3,-0.01973402,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,6.258804588,über dem Durchschnitt,-58.87043588,unter dem Durchschnitt,-5.642735306,unter dem Durchschnitt
Bad Berleburg,789,0.9,2.94,null,84,789,0,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-2.374723284,unter dem Durchschnitt,5.761736315,über dem Durchschnitt,8.603766365,über dem Durchschnitt
Bad Driburg,484.7,0.59,2.04,null,null,484.7,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-32.26001207,unter dem Durchschnitt,-30.66730619,unter dem Durchschnitt,-33.28232502,unter dem Durchschnitt
Bad Honnef,921,1.7,3.5,null,null,868.7,0.060204904,Bonn,Köln ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,16.22056752,über dem Durchschnitt,99.7721686,über dem Durchschnitt,26.77321777,über dem Durchschnitt
Bad Laasphe,660.4,0.68,2.86,null,null,685.6,-0.036756126,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-5.031193399,unter dem Durchschnitt,-20.09113256,unter dem Durchschnitt,-9.097684021,unter dem Durchschnitt
Bad Lippspringe,482.4,0.48,2.1,null,null,482.4,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-30.26765949,unter dem Durchschnitt,-43.59374063,unter dem Durchschnitt,-33.59891395,unter dem Durchschnitt
Bad Münstereifel,928.4,0.38,4.12,null,55,915,0.014644809,Bonn,Köln ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,36.80821091,über dem Durchschnitt,-55.34504467,unter dem Durchschnitt,27.79180823,über dem Durchschnitt
Bad Oeynhausen,701.9,0.83,2.97,null,null,657.3,0.067853339,Bielefeld,Bielefeld,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-1.378546991,unter dem Durchschnitt,-2.464176509,unter dem Durchschnitt,-3.385318616,unter dem Durchschnitt
Bad Salzuflen,590.3,0.51,2.62,null,null,624.9,-0.055368859,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-13.00060374,unter dem Durchschnitt,-40.06834942,unter dem Durchschnitt,-18.7467639,unter dem Durchschnitt
Bad Sassendorf,547.5,0.55,2.38,null,null,550.1,-0.004726413,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-20.97001409,unter dem Durchschnitt,-35.36782781,unter dem Durchschnitt,-24.63807087,unter dem Durchschnitt
Bad Wünnenberg,797.7,0.29,3.8,null,null,797.7,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,26.18233045,über dem Durchschnitt,-65.9212183,unter dem Durchschnitt,9.80129839,über dem Durchschnitt
Baesweiler,786.6,1.22,3.14,null,null,786.6,0,Aachen,Aachen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,4.266452002,über dem Durchschnitt,43.36590923,über dem Durchschnitt,8.273412703,über dem Durchschnitt
Balve,757.5,0.75,3.3,null,null,757.5,0,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,9.579392232,über dem Durchschnitt,-11.86521974,unter dem Durchschnitt,4.267874552,über dem Durchschnitt
Barntrup,1181.2,0.84,5.36,null,null,1177.8,0.002886738,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,77.98349769,über dem Durchschnitt,-1.289046106,unter dem Durchschnitt,62.58906062,über dem Durchschnitt
Beckum,703.6,0.72,3.05,null,null,657.1,0.070765485,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,1.277923123,über dem Durchschnitt,-15.39061095,unter dem Durchschnitt,-3.151318106,unter dem Durchschnitt
Bedburg,621,0.7,2.65,null,null,615.8,0.0084443,Köln,Köln,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-12.00442745,unter dem Durchschnitt,-17.74087175,unter dem Durchschnitt,-14.52098997,unter dem Durchschnitt
Bedburg-Hau,669.3,0.81,2.82,null,null,700.3,-0.044266743,Duisburg,Düsseldorf ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-6.359428456,unter dem Durchschnitt,-4.814437316,unter dem Durchschnitt,-7.872622524,unter dem Durchschnitt
Beelen,599.1,0.47,2.69,null,null,561.9,0.066203951,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-10.67619239,unter dem Durchschnitt,-44.76887104,unter dem Durchschnitt,-17.53546714,unter dem Durchschnitt
Bergheim,924.3,1.51,3.64,null,null,947.3,-0.024279531,Köln,Köln,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,20.86939022,über dem Durchschnitt,77.44469093,über dem Durchschnitt,27.22745406,über dem Durchschnitt
Bergisch Gladbach,793.4,1.38,3.07,null,null,778.7,0.018877617,Köln,Köln,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,1.942040652,über dem Durchschnitt,62.16799568,über dem Durchschnitt,9.209414746,über dem Durchschnitt
Bergkamen,1082,1.8,4.24,null,null,1136.9,-0.048289207,Dortmund,Dortmund,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,40.79291608,über dem Durchschnitt,111.5234726,über dem Durchschnitt,48.93444259,über dem Durchschnitt
Bergneustadt,996.4,1.08,4.28,null,null,965.2,0.032324907,Köln,Wuppertal,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,42.12115114,über dem Durchschnitt,26.91408358,über dem Durchschnitt,37.15182865,über dem Durchschnitt
Bestwig,781.5,0.63,2.91,null,117.6,781.5,0,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-3.370899577,unter dem Durchschnitt,-25.96678458,unter dem Durchschnitt,7.571411172,über dem Durchschnitt
Beverungen,848.9,0.43,3.56,null,81,848.9,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,18.2129201,über dem Durchschnitt,-49.46939265,unter dem Durchschnitt,16.84884318,über dem Durchschnitt
Bielefeld,727.2,1.04,2.96,null,null,719.4,0.010842369,Bielefeld,Bielefeld,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-1.710605756,unter dem Durchschnitt,22.21356196,über dem Durchschnitt,0.09715957,über dem Durchschnitt
Billerbeck,581.2,0.44,2.62,null,null,583,-0.003087479,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-13.00060374,unter dem Durchschnitt,-48.29426225,unter dem Durchschnitt,-19.99935486,unter dem Durchschnitt
Blankenheim,865.8,0.66,3.9,null,null,865.8,0,Aachen,Aachen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,29.50291809,über dem Durchschnitt,-22.44139337,unter dem Durchschnitt,19.17508355,über dem Durchschnitt
Blomberg,883.2,0.64,4,null,null,883.2,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,32.82350574,über dem Durchschnitt,-24.79165418,unter dem Durchschnitt,21.5701476,über dem Durchschnitt
Bocholt,649.7,0.69,2.8,null,null,649.7,0,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-7.023545985,unter dem Durchschnitt,-18.91600216,unter dem Durchschnitt,-10.57051076,unter dem Durchschnitt
Bochum,640.4,1.08,2.5,null,null,654.4,-0.021393643,Essen,Essen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-16.98530892,unter dem Durchschnitt,26.91408358,über dem Durchschnitt,-11.8506312,unter dem Durchschnitt
Bönen,655.5,0.95,2.66,null,null,618.6,0.059650824,Dortmund,Dortmund,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-11.67236869,unter dem Durchschnitt,11.63738833,über dem Durchschnitt,-9.77215608,unter dem Durchschnitt
Bonn,659.7,1.29,2.46,null,null,633.8,0.040864626,Bonn,Köln ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-18.31354397,unter dem Durchschnitt,51.59182205,über dem Durchschnitt,-9.194037172,unter dem Durchschnitt
Borchen,648.6,0.42,2.97,null,null,648.6,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-1.378546991,unter dem Durchschnitt,-50.64452305,unter dem Durchschnitt,-10.72192286,unter dem Durchschnitt
Borgentreich,878.7,0.39,3.57,null,114,878.7,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,18.54497887,über dem Durchschnitt,-54.16991426,unter dem Durchschnitt,20.95073448,über dem Durchschnitt
Borgholzhausen,740.4,0.88,3.13,null,null,722.4,0.024916944,Bielefeld,Bielefeld,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,3.934393238,über dem Durchschnitt,3.411475508,über dem Durchschnitt,1.914104711,über dem Durchschnitt
Borken,526.3,0.51,2.3,null,null,526.3,0,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-23.6264842,unter dem Durchschnitt,-40.06834942,unter dem Durchschnitt,-27.55619488,unter dem Durchschnitt
Bornheim,880.3,1.71,3.29,null,null,880.3,0,Bonn,Köln ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,9.247333467,über dem Durchschnitt,100.947299,über dem Durchschnitt,21.17097026,über dem Durchschnitt
Bottrop,696.8,1.56,2.47,null,null,679.1,0.026063908,Essen,Essen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-17.98148521,unter dem Durchschnitt,83.32034295,über dem Durchschnitt,-4.087320148,unter dem Durchschnitt
Brakel,482.3,0.31,1.61,null,120,482.3,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-46.53853894,unter dem Durchschnitt,-63.57095749,unter dem Durchschnitt,-33.61267868,unter dem Durchschnitt
Breckerfeld,886.2,0.74,3.95,null,null,917.5,-0.034114441,Dortmund,Essen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,31.16321191,über dem Durchschnitt,-13.04035014,unter dem Durchschnitt,21.98308967,über dem Durchschnitt
Brilon,634.1,0.57,2.8,null,null,628.9,0.008268405,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-7.023545985,unter dem Durchschnitt,-33.017567,unter dem Durchschnitt,-12.71780957,unter dem Durchschnitt
Brüggen,507.1,0.67,2.1,null,null,514.9,-0.015148573,Düsseldorf,Düsseldorf,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-30.26765949,unter dem Durchschnitt,-21.26626297,unter dem Durchschnitt,-30.19902418,unter dem Durchschnitt
Brühl,559.4,1.38,1.9,null,null,559.4,0,Köln,Köln,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-36.90883478,unter dem Durchschnitt,62.16799568,über dem Durchschnitt,-23.00006729,unter dem Durchschnitt
Bünde,794.1,0.57,3.6,null,null,794.1,0,Bielefeld,Bielefeld,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,19.54115516,über dem Durchschnitt,-33.017567,unter dem Durchschnitt,9.305767897,über dem Durchschnitt
Burbach,712.06,0.99,2.66,null,51.36,639,0.114334898,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-11.67236869,unter dem Durchschnitt,16.33790995,über dem Durchschnitt,-1.986821447,unter dem Durchschnitt
Büren,645.9,0.43,2.95,null,null,645.9,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-2.04266452,unter dem Durchschnitt,-49.46939265,unter dem Durchschnitt,-11.09357073,unter dem Durchschnitt
Burscheid,1029.7,1.29,4.31,null,null,999.7,0.030009003,Wuppertal,Wuppertal,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,43.11732743,über dem Durchschnitt,51.59182205,über dem Durchschnitt,41.73548571,über dem Durchschnitt
Castrop-Rauxel,680.9,1.13,2.67,null,null,680.9,0,Dortmund,Dortmund,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-11.34030992,unter dem Durchschnitt,32.7897356,über dem Durchschnitt,-6.275913158,unter dem Durchschnitt
Coesfeld,468.3,0.51,2.01,null,null,468.3,0,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-33.25618837,unter dem Durchschnitt,-40.06834942,unter dem Durchschnitt,-35.53974171,unter dem Durchschnitt
Dahlem,879,0.7,3.61,null,66,848,0.036556604,Aachen,Aachen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,19.87321393,über dem Durchschnitt,-17.74087175,unter dem Durchschnitt,20.99202869,über dem Durchschnitt
Datteln,786.3,0.91,3.34,null,null,792.4,-0.007698132,Dortmund,Essen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,10.90762729,über dem Durchschnitt,6.936866719,über dem Durchschnitt,8.232118496,über dem Durchschnitt
Delbrück,439.4,0.38,1.95,null,null,454.2,-0.032584764,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-35.24854095,unter dem Durchschnitt,-55.34504467,unter dem Durchschnitt,-39.51775039,unter dem Durchschnitt
Detmold,974.9,0.93,4.27,null,null,974.9,0,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,41.78909237,über dem Durchschnitt,9.287127526,über dem Durchschnitt,34.19241043,über dem Durchschnitt
Dinslaken,512.3,0.71,2.1,null,null,539.6,-0.050593032,Duisburg,Düsseldorf ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-30.26765949,unter dem Durchschnitt,-16.56574135,unter dem Durchschnitt,-29.48325791,unter dem Durchschnitt
Dörentrup,1023.9,1.03,3.73,null,144,1064.6,-0.038230321,Bielefeld ,Bielefeld ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,23.8579191,über dem Durchschnitt,21.03843156,über dem Durchschnitt,40.93713103,über dem Durchschnitt
Dormagen,562.7,1.19,2.04,null,null,557.5,0.009327354,Düsseldorf,Düsseldorf,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-32.26001207,unter dem Durchschnitt,39.84051802,über dem Durchschnitt,-22.54583101,unter dem Durchschnitt
Dorsten,574,1,2.22,null,null,574,0,Dortmund,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-26.28295432,unter dem Durchschnitt,17.51304035,über dem Durchschnitt,-20.99041585,unter dem Durchschnitt
Dortmund,646.6,1.42,2.31,null,null,648.8,-0.003390875,Dortmund,Dortmund,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-23.29442544,unter dem Durchschnitt,66.8685173,über dem Durchschnitt,-10.99721758,unter dem Durchschnitt
Drensteinfurt,747,0.7,3.28,null,null,737.2,0.013293543,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,8.915274703,über dem Durchschnitt,-17.74087175,unter dem Durchschnitt,2.822577281,über dem Durchschnitt
Drolshagen,757.9,0.43,3.51,null,null,720.8,0.051470588,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,16.55262628,über dem Durchschnitt,-49.46939265,unter dem Durchschnitt,4.322933496,über dem Durchschnitt
Duisburg,661.9,1.23,2.51,null,null,644,0.027795031,Duisburg,Düsseldorf,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-16.65325015,unter dem Durchschnitt,44.54103963,über dem Durchschnitt,-8.891212982,unter dem Durchschnitt
Dülmen,545.5,0.75,2.24,null,null,546.9,-0.002559883,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-25.61883679,unter dem Durchschnitt,-11.86521974,unter dem Durchschnitt,-24.91336559,unter dem Durchschnitt
Düren,566.7,0.79,2.32,null,null,534.9,0.059450365,Aachen,Aachen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-22.96236667,unter dem Durchschnitt,-7.164698123,unter dem Durchschnitt,-21.99524157,unter dem Durchschnitt
Düsseldorf,431.4,0.98,1.52,null,null,431.4,0,Düsseldorf,Düsseldorf,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-49.52706782,unter dem Durchschnitt,15.16277954,über dem Durchschnitt,-40.61892926,unter dem Durchschnitt
Eitorf,813.5,0.75,3.28,null,60,813.5,0,Bonn,Köln ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,8.915274703,über dem Durchschnitt,-11.86521974,unter dem Durchschnitt,11.97612666,über dem Durchschnitt
Elsdorf,701.9,0.63,3.1,null,null,739.1,-0.050331484,Köln,Köln,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,2.938216945,über dem Durchschnitt,-25.96678458,unter dem Durchschnitt,-3.385318616,unter dem Durchschnitt
Emmerich am Rhein,801.8,0.86,3.45,null,null,794.2,0.009569378,Duisburg,Düsseldorf ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,14.5602737,über dem Durchschnitt,1.061214701,über dem Durchschnitt,10.36565256,über dem Durchschnitt
Emsdetten,768,0.6,3.45,null,null,801.3,-0.041557469,Münster ,Münster ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,14.5602737,über dem Durchschnitt,-29.49217579,unter dem Durchschnitt,5.713171823,über dem Durchschnitt
Engelskirchen,983.7,1.09,4.21,null,null,985.7,-0.002029015,Köln,Wuppertal,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,39.79673979,über dem Durchschnitt,28.08921398,über dem Durchschnitt,35.40370719,über dem Durchschnitt
Enger,677.8,0.66,2.96,null,null,677.8,0,Bielefeld,Bielefeld,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-1.710605756,unter dem Durchschnitt,-22.44139337,unter dem Durchschnitt,-6.702619971,unter dem Durchschnitt
Ennepetal,863.2,1.04,3.64,null,null,863.2,0,Dortmund,Essen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,20.86939022,über dem Durchschnitt,22.21356196,über dem Durchschnitt,18.81720041,über dem Durchschnitt
Ennigerloh,753.4,0.58,3.39,null,null,737.4,0.021697857,Münster,Münster,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,12.56792111,über dem Durchschnitt,-31.8424366,unter dem Durchschnitt,3.70352038,über dem Durchschnitt
Ense,800,0.6,3.61,null,null,811.3,-0.013928263,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,19.87321393,über dem Durchschnitt,-29.49217579,unter dem Durchschnitt,10.11788732,über dem Durchschnitt
Erftstadt,416.3,0.71,1.62,null,null,414.3,0.00482742,Köln,Köln,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-46.20648018,unter dem Durchschnitt,-16.56574135,unter dem Durchschnitt,-42.69740439,unter dem Durchschnitt
Erkelenz,467,0.9,1.75,null,null,467,0,Aachen,Aachen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-41.88971624,unter dem Durchschnitt,5.761736315,über dem Durchschnitt,-35.71868328,unter dem Durchschnitt
Erkrath,559.6,1.12,2.07,null,null,559.6,0,Düsseldorf,Düsseldorf,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-31.26383578,unter dem Durchschnitt,31.61460519,über dem Durchschnitt,-22.97253782,unter dem Durchschnitt
Erndtebrück,928.9,0.63,3.83,null,81,928.9,0,Siegen,Siegen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,27.17850674,über dem Durchschnitt,-25.96678458,unter dem Durchschnitt,27.86063191,über dem Durchschnitt
Erwitte,553.7,0.69,2.32,null,null,553.7,0,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-22.96236667,unter dem Durchschnitt,-18.91600216,unter dem Durchschnitt,-23.78465724,unter dem Durchschnitt
Eschweiler,636.1,1.17,2.42,null,null,633.4,0.004262709,Aachen,Aachen,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-19.64177903,unter dem Durchschnitt,37.49025721,über dem Durchschnitt,-12.44251485,unter dem Durchschnitt
Eslohe (Sauerland),637.6,0.32,2.98,null,null,616.3,0.03456109,Siegen ,Siegen ,3.011515152,0.850969388,54.8125,94.83101695,726.4941414,723.5478283,0.005550792,-1.046488227,unter dem Durchschnitt,-62.39582709,unter dem Durchschnitt,-12.23604381,unter dem Durchschnitt
